**** Planta:    1 CAMARGOS    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2028 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2029 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2030 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2031 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2032 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2033 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2034 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2035 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2036 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2037 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2038 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
2039 6650.36 6849.75    7008 6957.36 6612.38 6742.14 6805.44  6881.4 6618.71 6928.88 6935.21 6650.36
**** Planta:   49 CHAVANTES   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2026  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2027  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2028  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2029  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2030  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2031  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2032  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2033  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2034  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2035  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2036  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2037  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2038  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
2039  8372.3 8642.95    8795    8795 8417.92 8539.56 8603.42 8642.95 8420.96 8718.97 8725.06 8451.37
**** Planta:   61 CAPIVARA    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2026 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2027 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2028 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2029 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2030 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2031 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2032 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2033 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2034 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2035 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2036 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2037 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2038 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
2039 9589.82   10540   10540   10540   10540   10540   10540   10540   10540   10540   10540 10013.4
