$version=1
!Code,Latitude,Longitude
1893,-21.38,-45.51
1894,-21.14,-45.04
1895,-21.3,-44.63
1896,-21.54,-45.43
1897,-21.6,-45.44
1898,-22.43,-46.56
1899,-22.56,-45.77
1900,-21.33,-44.62
1921,-22.29,-42.51
1922,-22.27,-42.57
1923,-22.06,-42.68
1926,-22.23,-42.52
1927,-22.26,-42.68
1928,-22.27,-42.57
1935,-22.33,-42.52
1941,-23,-44.45
1943,-23,-44.3
1945,-22.99,-44.24
1947,-22.94,-44.01
1951,-21.77,-41.33
1953,-21.73,-41.36
1955,-21.77,-41.33
1958,-22.64,-43.29
1960,-22.7,-43.28
1961,-22.7,-43.28
1963,-22.62,-43.21
1964,-21.36,-41.71
1966,-22.62,-43.21
1969,-22.72,-43.24
1971,-20.99,-41.71
1972,-21.2,-41.89
1973,-21.25,-41.76
1974,-21.11,-41.73
1980,-22.62,-42.27
1981,-22.65,-42.39
1982,-22.85,-42.32
1984,-22.82,-42.11
1985,-22.85,-42.05
1986,-22.85,-42.05
1987,-22.62,-42
1989,-22.42,-42.01
1990,-22.4,-41.84
1991,-21.98,-42.29
1992,-21.92,-42.26
1993,-21.71,-41.28
1996,-22.23,-42.1
1997,-21.99,-42.29
2000,-22.4,-42.95
2001,-22.43,-43.17
2005,-21.52,-41.08
2008,-22.73,-42.79
2009,-21.69,-41.06
2011,-22.6,-43.03
2012,-22.77,-42.98
2013,-22.69,-42.95
2016,-22.78,-43.04
2017,-21.57,-41.07
2018,-22.79,-42.97
2019,-22.43,-43.17
2020,-22.81,-43
2022,-22.83,-43.04
2023,-22.86,-43.08
2024,-22.89,-43.11
2025,-22.9,-43.12
2026,-22.91,-43.06
2028,-22.86,-43
2029,-22.86,-43
2030,-22.49,-43.15
2031,-22.91,-43.1
2033,-22.49,-44.45
2035,-22.48,-44.54
2036,-22.5,-44.64
2037,-22.2,-43.15
2038,-22.21,-43.16
2039,-22.23,-43.09
2041,-20.38,-51.37
2042,-20.78,-51.63
2043,-20.78,-51.63
2044,-20.67,-51.3
2045,-22.48,-52.96
2056,-23.19,-46.02
2058,-23.41,-45.6
2071,-21.77,-47.07
2072,-21.48,-47.01
2073,-21.62,-46.9
2074,-22.49,-52.96
2075,-23.61,-48.09
2076,-23.59,-48.06
2077,-22.7,-47
2078,-22.74,-46.9
2081,-23.59,-48.15
2082,-22.7,-47
2083,-22.72,-47
2084,-22.66,-47.05
