NUM: 117 GUARAPIRANGA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2030  4.22  4.51  4.37  4.65  4.92  4.96  4.98  5.06  4.88  4.57  4.24  4.24
2031  4.24  4.54   4.4  4.68  4.96     5  5.03   5.1  4.92   4.6  4.26  4.26
2032  4.26  4.56  4.42  4.71     5  5.04  5.07  5.15  4.96  4.63  4.28  4.28
2033  4.28   4.6  4.44  4.74  5.04  5.08  5.11  5.19  4.99  4.66   4.3   4.3
2034   4.3  4.62  4.47  4.78  5.08  5.12  5.15  5.23  5.03  4.69  4.32  4.32
2035  4.32  4.65  4.49  4.81  5.11  5.16  5.18  5.27  5.07  4.72  4.34  4.34
2036  4.34  4.67  4.52  4.84  5.15   5.2  5.23  5.31   5.1  4.75  4.36  4.36
2037  4.36   4.7  4.54  4.87  5.19  5.24  5.26  5.35  5.14  4.77  4.38  4.38
2038  4.38  4.73  4.56   4.9  5.22  5.27   5.3  5.39  5.18   4.8   4.4   4.4
2039   4.4  4.76  4.58  4.93  5.26  5.31  5.34  5.43  5.21  4.83  4.42  4.42
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 135 P. ESTRELA            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 -3.36 -3.24 -3.35 -3.28 -3.18 -3.15 -3.13 -3.14 -3.21 -3.31 -3.39 -3.39
2026 -3.36 -3.24 -3.34 -3.27 -3.18 -3.14 -3.12 -3.13  -3.2 -3.31 -3.39 -3.39
2027 -3.35 -3.23 -3.34 -3.27 -3.17 -3.13 -3.11 -3.12  -3.2 -3.31 -3.38 -3.39
2028 -3.35 -3.23 -3.34 -3.26 -3.16 -3.12  -3.1 -3.11 -3.19  -3.3 -3.38 -3.38
2029 -3.35 -3.22 -3.34 -3.26 -3.15 -3.11  -3.1  -3.1 -3.19  -3.3 -3.38 -3.38
