**** Fuel:     98 OLEO (98)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2038  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27
2039  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27  210.27
**** Fuel:     96 GAS (96)    
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1153.05 1153.05 1153.05 1153.05 1153.05 1153.05 1153.05 1153.05 1153.05 1153.05 1153.05 1153.05
2026 1038.93 1038.93 1038.93 1038.93 1038.93 1038.93 1038.93 1038.93 1038.93 1038.93 1038.93 1038.93
2027  996.13  996.13  996.13  996.13  996.13  996.13  996.13  996.13  996.13  996.13  996.13  996.13
2028  953.33  953.33  953.33  953.33  953.33  953.33  953.33  953.33  953.33  953.33  953.33  953.33
2029  910.53  910.53  910.53  910.53  910.53  910.53  910.53  910.53  910.53  910.53  910.53  910.53
2030  867.74  867.74  867.74  867.74  867.74  867.74  867.74  867.74  867.74  867.74  867.74  867.74
2031  844.91  844.91  844.91  844.91  844.91  844.91  844.91  844.91  844.91  844.91  844.91  844.91
2032  822.09  822.09  822.09  822.09  822.09  822.09  822.09  822.09  822.09  822.09  822.09  822.09
2033  799.26  799.26  799.26  799.26  799.26  799.26  799.26  799.26  799.26  799.26  799.26  799.26
2034  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44
2035  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44
2036  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44
2037  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44
2038  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44
2039  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44  776.44
**** Fuel:    170 OLEO (170)  
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1302.98 1302.98 1302.98 1302.98 1302.98 1302.98 1302.98 1302.98 1302.98 1302.98 1302.98 1302.98
2026 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02
2027 1309.07 1309.07 1309.07 1309.07 1309.07 1309.07 1309.07 1309.07 1309.07 1309.07 1309.07 1309.07
2028 1312.11 1312.11 1312.11 1312.11 1312.11 1312.11 1312.11 1312.11 1312.11 1312.11 1312.11 1312.11
2029 1315.15 1315.15 1315.15 1315.15 1315.15 1315.15 1315.15 1315.15 1315.15 1315.15 1315.15 1315.15
2030  1318.2  1318.2  1318.2  1318.2  1318.2  1318.2  1318.2  1318.2  1318.2  1318.2  1318.2  1318.2
2031 1319.72 1319.72 1319.72 1319.72 1319.72 1319.72 1319.72 1319.72 1319.72 1319.72 1319.72 1319.72
2032 1322.77 1322.77 1322.77 1322.77 1322.77 1322.77 1322.77 1322.77 1322.77 1322.77 1322.77 1322.77
2033 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02 1306.02
2034 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32
