**** Planta:  117 GUARAPIRANGA Penal:         9200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       1       1       1       1       1       1       1       1       1       1       1       1
2026       1       1       1       1       1       1       1       1       1       1       1       1
2027       1       1       1       1       1       1       1       1       1       1       1       1
2028       1       1       1       1       1       1       1       1       1       1       1       1
2029       1       1       1       1       1       1       1       1       1       1       1       1
2030       1       1       1       1       1       1       1       1       1       1       1       1
2031       1       1       1       1       1       1       1       1       1       1       1       1
2032       1       1       1       1       1       1       1       1       1       1       1       1
2033       1       1       1       1       1       1       1       1       1       1       1       1
2034       1       1       1       1       1       1       1       1       1       1       1       1
2035       1       1       1       1       1       1       1       1       1       1       1       1
2036       1       1       1       1       1       1       1       1       1       1       1       1
2037       1       1       1       1       1       1       1       1       1       1       1       1
2038       1       1       1       1       1       1       1       1       1       1       1       1
2039       1       1       1       1       1       1       1       1       1       1       1       1
2040       1       1       1       1       1       1       1       1       1       1       1       1
**** Planta:  148 IRAPE        Penal:    689.99459
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      48      48      48      48      48      48      48      48      48      48      48      48
2026      48      48      48      48      48      48      48      48      48      48      48      48
2027      48      48      48      48      48      48      48      48      48      48      48      48
2028      48      48      48      48      48      48      48      48      48      48      48      48
2029      48      48      48      48      48      48      48      48      48      48      48      48
2030      48      48      48      48      48      48      48      48      48      48      48      48
2031      48      48      48      48      48      48      48      48      48      48      48      48
2032      48      48      48      48      48      48      48      48      48      48      48      48
2033      48      48      48      48      48      48      48      48      48      48      48      48
2034      48      48      48      48      48      48      48      48      48      48      48      48
2035      48      48      48      48      48      48      48      48      48      48      48      48
2036      48      48      48      48      48      48      48      48      48      48      48      48
2037      48      48      48      48      48      48      48      48      48      48      48      48
2038      48      48      48      48      48      48      48      48      48      48      48      48
